Date,Type,Route Name,Distance (km),Duration,Average Pace,Average Speed (km/h),Calories Burned,Climb (m),Average Heart Rate (bpm),Notes,GPX File
2015-10-15 19:43:49,Cycling,,10.77,38:45,3:36,16.68,214.0,134,,,2015-10-15-1943.gpx
2015-10-13 20:12:00,Running,,4.47,44:59,10:04,5.96,169.0,0,157,,
2015-10-13 19:23:15,Running,,2.96,15:06,5:07,11.74,154.0,34,,,2015-10-13-1923.gpx
2015-10-11 17:23:32,Cycling,,11.62,41:33,3:34,16.78,215.0,128,,,2015-10-11-1723.gpx
2015-10-11 14:25:17,Cycling,,11.23,43:05,3:50,15.64,210.0,79,,,2015-10-11-1425.gpx
2015-10-09 11:15:00,Swimming,,0.15,1:53:00,753:20,0.08,377.0,0,,,
2015-10-08 20:51:44,Cycling,,11.16,38:06,3:25,17.58,213.0,143,,,2015-10-08-2051.gpx
2015-10-06 18:03:52,Running,,6.60,46:42,7:04,8.48,347.0,104,,,2015-10-06-1803.gpx
2015-09-27 10:47:57,Running,,16.34,1:49:49,6:43,8.93,890.0,326,,,2015-09-27-1047.gpx
2015-09-22 18:40:00,Running,"Rosenheimer",3.78,28:21,7:30,7.99,155.0,37,,,2015-09-22-1840.gpx
2015-09-12 13:30:00,Strength Training,,0.00,1:30:00,,,375.0,0,,,
2015-09-08 15:22:10,Cycling,,25.50,1:50:24,4:20,13.86,517.0,163,,,2015-09-08-1522.gpx
2015-09-08 10:47:16,Cycling,,12.11,1:04:54,5:22,11.20,273.0,68,,,2015-09-08-1047.gpx
2015-08-31 15:50:15,Running,,9.19,58:26,6:21,9.44,425.0,122,,"I am back!",2015-08-31-1550.gpx
2015-08-26 21:12:00,Strength Training,,0.00,1:34:00,,,392.0,0,,,
2015-08-24 21:13:46,Running,,4.47,33:49,7:34,7.92,223.0,56,,"So much rain!",2015-08-24-2113.gpx
2015-08-21 22:52:34,Cycling,,8.77,50:37,5:46,10.39,238.0,357,,,2015-08-21-2252.gpx
2015-08-11 22:10:55,Running,,4.63,30:00,6:29,9.25,265.0,164,,,2015-08-11-2210.gpx
2015-08-09 13:09:53,Cycling,,42.14,5:19:40,7:35,7.91,1823.0,1684,,,2015-08-09-1309.gpx
2015-08-08 20:05:19,Cycling,,7.78,1:17:07,9:55,6.05,284.0,79,,,2015-08-08-2005.gpx
2015-08-03 22:32:43,Running,,11.91,1:26:30,7:16,8.26,618.0,191,,,2015-08-03-2232.gpx
2015-07-20 21:07:00,Running,,4.64,34:11,7:22,8.14,245.0,18,,,2015-07-20-2107.gpx
2015-07-13 23:08:00,Running,,10.15,1:13:31,7:15,8.28,546.0,12,,,2015-07-13-2308.gpx
2015-07-08 17:20:00,Running,,9.33,1:01:05,6:33,9.17,503.0,13,,,2015-07-08-1720.gpx
2015-07-04 18:14:29,Cycling,,21.63,1:20:36,3:44,16.10,552.0,650,,,2015-07-04-1814.gpx
2015-06-27 22:55:33,Running,,6.69,47:52,7:09,8.39,352.0,89,,,2015-06-27-2255.gpx
2015-06-25 21:22:41,Running,,5.71,38:21,6:43,8.93,306.0,88,,,2015-06-25-2122.gpx
2015-06-06 17:28:47,Running,,2.13,14:52,6:59,8.59,108.0,20,,,2015-06-06-1728.gpx
2015-06-04 17:15:48,Running,,6.00,40:51,6:49,8.81,296.0,77,,,2015-06-04-1715.gpx
2015-06-03 16:10:33,Running,,3.70,23:08,6:15,9.59,203.0,57,,,2015-06-03-1610.gpx
2015-05-31 11:51:54,Rowing,,19.06,2:29:49,7:52,7.63,840.0,474,,,2015-05-31-1151.gpx
2015-05-25 17:00:37,Cycling,,22.08,1:56:38,5:17,11.36,431.0,398,,,2015-05-25-1700.gpx
2015-05-20 16:08:54,Running,,2.35,15:17,6:31,9.21,122.0,24,,,2015-05-20-1608.gpx
2015-05-18 21:00:20,Skating,,13.72,1:25:33,6:14,9.62,314.0,148,,,2015-05-18-2100.gpx
2015-05-13 10:12:16,Running,,9.87,1:11:35,7:15,8.27,461.0,124,,,2015-05-13-1012.gpx
2015-05-08 18:59:24,Running,,5.41,36:45,6:48,8.83,293.0,75,,,2015-05-08-1859.gpx
2015-05-06 09:40:29,Cycling,,20.96,1:30:00,4:18,13.97,315.0,125,,,2015-05-06-0940.gpx
2015-05-02 17:17:01,Cycling,,12.74,53:17,4:11,14.35,189.0,116,,,2015-05-02-1717.gpx
2015-05-02 12:18:00,Cycling,,8.65,1:05:19,7:33,7.95,280.0,102,,,2015-05-02-1218.gpx
2015-04-29 18:27:00,Running,,6.27,47:06,7:31,7.98,317.0,9,,,2015-04-29-1827.gpx
2015-04-25 08:32:00,Running,,7.36,50:52,6:54,8.69,383.0,44,,,2015-04-25-0832.gpx
2015-04-23 18:15:00,Running,,4.21,28:47,6:50,8.79,229.0,3,,,2015-04-23-1815.gpx
2015-04-20 18:31:00,Running,,3.76,29:31,7:51,7.65,183.0,15,,,2015-04-20-1831.gpx
2015-04-12 08:50:00,Running,,5.40,34:49,6:27,9.31,302.0,0,,"Cross run Taubate",
2015-04-04 18:30:00,Running,,8.00,54:52,6:52,8.75,454.0,0,,"Corrida de Aleluia em São Roque. O GPS falhou, mas o tempo foi esse ai...",
2015-04-01 16:20:00,Running,,4.52,38:00,8:25,7.13,199.0,3,,,2015-04-01-1620.gpx
2015-03-24 15:04:00,Cycling,,0.00,45:04,,,0.0,0,,,
2015-03-18 20:00:00,Cycling,,0.00,28:36,,,0.0,0,,,
2015-03-15 09:00:00,Running,,5.02,28:47,5:44,10.46,276.0,0,,"Corrida em Limeira, terceira da categoria!",
2015-03-09 21:58:00,Running,,4.00,24:37,6:09,9.75,224.0,0,,,
2015-03-06 20:10:00,Cycling,,0.00,39:07,,,0.0,0,,,
2015-03-05 20:48:00,Elliptical,,2.00,21:35,10:47,5.56,72.0,0,,,
2015-03-04 20:30:00,Running,,7.00,42:20,6:03,9.92,387.0,0,,,
2015-03-04 18:01:55,Running,,1.75,10:07,5:46,10.40,97.0,26,,,2015-03-04-1801.gpx
2015-03-02 21:32:20,Running,,3.91,26:54,6:53,8.72,215.0,56,,,2015-03-02-2132.gpx
2015-02-27 22:40:00,Running,,5.01,30:12,6:02,9.96,267.0,10,,,2015-02-27-2240.gpx
2015-02-26 09:30:36,Running,,8.12,1:03:51,7:52,7.63,422.0,87,,,2015-02-26-0930.gpx
2015-02-23 21:40:00,Running,,4.95,37:12,7:31,7.99,252.0,11,101,,2015-02-23-2140.gpx
2015-02-22 17:09:58,Running,,6.52,45:14,6:56,8.65,360.0,77,,,2015-02-22-1709.gpx
2015-02-21 08:26:38,Running,,4.89,31:19,6:24,9.37,251.0,3,,,2015-02-21-0826.gpx
2015-02-18 13:03:50,Running,,1.62,14:07,8:43,6.88,84.0,32,,,2015-02-18-1303.gpx
2015-02-10 21:46:28,Running,,5.50,35:53,6:31,9.20,308.0,83,,,2015-02-10-2146.gpx
2015-02-08 07:39:00,Running,,6.11,31:06,5:05,11.79,340.0,80,,,2015-02-08-0739.gpx
